Neighborhood;City;Latitude;Longitude
Arlington Ridge;Arlington;40.9840435;-81.4939385
Arlington View / Johnson's Hill;Arlington;38.86307935;-77.0725928623003
Aurora Hills;Arlington;38.8515014;-77.0641441
Ballston;Arlington;38.8831218;-77.1100937
Barcroft;Arlington;38.8559457;-77.1038675
Bellevue Forest;Arlington;38.9142781;-77.1135898
Bluemont;Arlington;38.8747413;-77.1330288
Bonair;Arlington;38.876033;-77.1334529500661
Brandon Village;Arlington;38.8756676;-77.1158122
Buckingham;Arlington;38.8734454;-77.1066453
Carlin Springs;Arlington;38.87717845;-77.1117832094381
Cherrydale;Arlington;38.8970561;-77.1083119
Claremont;Arlington;38.8431682;-77.1047009
Clarendon;Arlington;38.8857615;-77.0969711
Columbia Forest;Arlington;38.8540013;-77.1102566
Columbia Heights;Arlington;38.8576123;-77.1210902
Country Club Hills;Arlington;38.9140002;-77.1308124
Crescent Hills;Arlington;38.9048337;-77.1458128
Crystal City;Arlington;38.8579043;-77.0502898
Crystal Gateway;Arlington;38.9209448;-76.9635861
Dominion Hills;Arlington;38.8759453;-77.1410906
Donaldson Run;Arlington;38.9150538;-77.1104113
Douglas Park;Arlington;38.85308745;-77.0973286553782
East Falls Church;Arlington;38.887334;-77.1544242
Fairlington;Arlington;38.8326151;-77.0897028
Forest Hills;Arlington;38.9509441;-77.0580329
Fort Myer Heights;Arlington;38.877461;-77.0808279984826
Glencarlyn;Arlington;38.8617789;-77.1291459
Garden City;Arlington;38.9001116;-77.1352571
Greenbrier;Arlington;38.90110675;-77.1412416843229
High View Park / Halls Hill;Arlington;38.8937692;-77.1267374393176
Lauderdale;Arlington;30.3550453;-81.5678593
Lee Heights;Arlington;38.902056;-77.117201
Lyon Park;Arlington;38.8804358;-77.0898529
Madison Manor;Arlington;38.8803897;-77.1472019
Maywood;Arlington;38.8973688;-77.1002477126358
New Dover;Arlington;38.9067782;-77.1058118
Nauck;Arlington;38.8475349;-77.0877741
Old Glebe/Prospect House;Arlington;38.8903961;-77.0841585
Penrose;Arlington;38.86859395;-77.0830772422831
Pentagon City;Arlington;38.8619206;-77.0596308
Randolph Square;Arlington;38.8404301;-77.0891516242107
Rivercrest;Arlington;38.9220556;-77.1191454
Rosslyn;Arlington;38.8967784;-77.0724777
Tara;Arlington;38.8903895;-77.1349793
Westmont;Arlington;38.8626123;-77.0919227
Westover;Arlington;38.8870562;-77.1394238
Williamsburg;Arlington;38.91581415;-77.0380052781411
Williamsburg Village;Arlington;38.9051115;-77.1549797
Astoria;Queens;40.76850859335492;-73.91565374304234
Woodside;Queens;40.74634908860222;-73.90184166838284
Jackson Heights;Queens;40.75198138007367;-73.88282109164365
Elmhurst;Queens;40.744048505122024;-73.88165622288388
Howard Beach;Queens;40.65422527738487;-73.8381376460028
Corona;Queens;40.74238175015667;-73.85682497345258
Forest Hills;Queens;40.72526378216503;-73.84447500788983
Kew Gardens;Queens;40.7051790354148;-73.82981905825703
Richmond Hill;Queens;40.69794731471763;-73.83183321446887
Flushing;Queens;40.76445419697846;-73.83177300329582
Long Island City;Queens;40.75021734610528;-73.93920223915505
Sunnyside;Queens;40.74017628351924;-73.92691617561577
East Elmhurst;Queens;40.76407323883091;-73.86704147658772
Maspeth;Queens;40.725427374093606;-73.89621713626859
Ridgewood;Queens;40.70832315613858;-73.90143517559589
Glendale;Queens;40.70276242967838;-73.87074167435605
Rego Park;Queens;40.72897409480735;-73.8578268690537
Woodhaven;Queens;40.68988687915789;-73.8581104655432
Ozone Park;Queens;40.680708468265415;-73.84320266173447
South Ozone Park;Queens;40.66854957767195;-73.80986478649041
College Point;Queens;40.784902749260205;-73.84304528896125
Whitestone;Queens;40.78129076602694;-73.81420216610863
Bayside;Queens;40.76604063281064;-73.7742736306867
Auburndale;Queens;40.76172954903262;-73.79176243728061
Little Neck;Queens;40.7708261928267;-73.7388977558074
Douglaston;Queens;40.76684609790763;-73.7424982072733
Glen Oaks;Queens;40.74944079974332;-73.71548118999145
Bellerose;Queens;40.72857318176675;-73.72012814826903
Kew Gardens Hills;Queens;40.722578244228046;-73.82087764933566
Fresh Meadows;Queens;40.7343944653313;-73.78271337003264
Briarwood;Queens;40.71093547252271;-73.81174822458634
Jamaica Center;Queens;40.70465736068717;-73.79690165888289
Oakland Gardens;Queens;40.74561857141855;-73.75494976234332
Queens Village;Queens;40.718893092167356;-73.73871484578424
Hollis;Queens;40.71124344191904;-73.75925009335594
South Jamaica;Queens;40.696911253789885;-73.7904261313554
St. Albans;Queens;40.69444538522359;-73.75867603727717
Rochdale;Queens;40.67521139591733;-73.77258787620906
Springfield Gardens;Queens;40.666230490368584;-73.76042092682287
Cambria Heights;Queens;40.692774639160845;-73.73526873708026
Rosedale;Queens;40.659816433428084;-73.73526079428278
Far Rockaway;Queens;40.603134432500894;-73.75497968043872
Broad Channel;Queens;40.60302658351238;-73.8200548911032
Breezy Point;Queens;40.55740128845452;-73.92551196994168
Steinway;Queens;40.775923015642896;-73.90228960391673
Beechhurst;Queens;40.79278140360048;-73.80436451720988
Bay Terrace;Queens;40.782842806245554;-73.7768022262158
Edgemere;Queens;40.595641807368494;-73.77613282391705
Arverne;Queens;40.58914394372971;-73.79199233136943
Rockaway Beach;Queens;40.582801696845586;-73.82236121088751
Neponsit;Queens;40.572036730217015;-73.85754672410827
Murray Hill;Queens;40.764126122614066;-73.81276269135866
Floral Park;Queens;40.741378421945434;-73.70884705889246
Holliswood;Queens;40.7209572076444;-73.76714166714729
Jamaica Estates;Queens;40.71680483014613;-73.7872269693666
Queensboro Hill;Queens;40.7445723092867;-73.82580915110559
Hillcrest;Queens;40.723824901829204;-73.79760300912672
Ravenswood;Queens;40.761704526054146;-73.93157506072878
Lindenwood;Queens;40.66391841925139;-73.84963782402441
Laurelton;Queens;40.66788389660247;-73.74025607989822
Lefrak City;Queens;40.736074570830795;-73.8625247141374
Belle Harbor;Queens;40.57615556543109;-73.8540175039252
Rockaway Park;Queens;40.58034295646131;-73.84153370226186
Somerville;Queens;40.59771061565768;-73.79664750844047
Brookville;Queens;40.66000322733613;-73.75175310731153
Bellaire;Queens;40.73301404027834;-73.73889198912481
North Corona;Queens;40.7540709990489;-73.85751790676447
Forest Hills Gardens;Queens;40.7146110815117;-73.8410221123401
Jamaica Hills;Queens;40.71145964370482;-73.79646462081593
Utopia;Queens;40.73350025429757;-73.79671678028349
Pomonok;Queens;40.73493618075478;-73.80486120040537
Astoria Heights;Queens;40.7703173929982;-73.89467996270574
Hunters Point;Queens;40.743414090073536;-73.95386782130745
Sunnyside Gardens;Queens;40.74565180608076;-73.91819286431682
Blissville;Queens;40.73725071694497;-73.93244235260178
Roxbury;Queens;40.56737588957032;-73.89213760232822
Middle Village;Queens;40.716414511158185;-73.88114319200604
Malba;Queens;40.79060155670148;-73.82667757138641
Hammels;Queens;40.58733774018741;-73.80553002968718
Bayswater;Queens;40.611321691283834;-73.76596781445627
Queensbridge;Queens;40.756091297094706;-73.94563070334091
